Survey_ID,Customer_ID,Model,Quality_Score,Service_Score,Price_Satisfaction,Overall_Satisfaction,Would_Recommend,Survey_Date
5128,10899,BMW X5,3,10,2,1,No,2024-07-20
5129,10322,BMW i7,8,3,7,7,No,2024-04-14
5130,10787,BMW 330i,3,2,8,5,Yes,2024-07-15
5131,10235,BMW 530i,8,7,6,1,No,2024-05-24
5132,10878,BMW 330i,8,8,7,6,No,2024-11-30
5133,10607,BMW 320i,1,4,3,7,Yes,2024-08-15
5134,10145,BMW X5,4,10,8,2,No,2024-09-13
5135,10797,BMW X3,3,5,5,5,No,2024-05-03
5136,10948,BMW i7,3,4,1,7,Yes,2024-05-06
5137,10738,BMW 530i,7,1,3,6,No,2024-11-05
5138,10875,BMW X5,2,2,6,10,Yes,2024-06-06
5139,10663,BMW M440i,5,8,10,6,Yes,2024-10-02
5140,10663,BMW X3,5,5,1,1,Yes,2024-09-26
5141,10827,BMW 530i,2,2,6,1,No,2024-04-26
5142,10118,BMW X5,7,1,3,6,Yes,2024-06-19
5143,10027,BMW M440i,4,3,10,9,Yes,2024-01-17
5144,10685,BMW X7,5,10,8,6,Yes,2024-09-07
5145,10216,BMW X5,6,6,6,5,No,2024-02-14
5146,10114,BMW M440i,4,1,5,3,No,2024-09-17
5147,10942,BMW M440i,4,1,6,10,No,2024-08-11
5148,10023,BMW i7,1,4,9,10,No,2024-11-01
5149,10564,BMW X7,4,10,7,3,No,2024-12-30
5150,10607,BMW i7,4,3,3,2,Yes,2024-06-27
5151,10509,BMW X3,10,1,3,9,No,2024-06-27
5152,10048,BMW i7,1,5,1,7,Yes,2024-06-07
5153,10786,BMW X3,1,7,1,3,Yes,2024-03-03
5154,10390,BMW M440i,6,7,1,7,No,2024-03-01
5155,10120,BMW X5,5,10,3,8,No,2024-04-25
5156,10136,BMW X5,5,3,7,9,Yes,2024-04-06
5157,10673,BMW 330i,5,1,4,1,Yes,2024-02-03
5158,10498,BMW i7,4,8,2,9,Yes,2024-01-28
5159,10713,BMW 330i,1,10,10,9,Yes,2024-03-28
5160,10318,BMW 530i,1,1,10,2,Yes,2024-08-17
5161,10624,BMW X3,2,4,2,1,No,2024-01-03
5162,10207,BMW X3,10,5,5,7,No,2024-07-20
5163,10120,BMW 320i,7,5,9,8,No,2024-04-30
5164,10602,BMW i7,8,6,4,9,No,2024-03-16
5165,10649,BMW 330i,10,9,10,3,Yes,2024-02-29
5166,10991,BMW 530i,6,6,6,5,No,2024-02-22
5167,10450,BMW X7,7,4,3,8,No,2024-02-16
5168,10859,BMW X3,8,1,9,7,Yes,2024-06-04
5169,10178,BMW 530i,6,8,5,6,No,2024-08-07
5170,10185,BMW M440i,9,9,6,9,Yes,2024-11-04
5171,10034,BMW X3,8,4,6,6,No,2024-01-21
5172,10108,BMW X3,1,7,10,8,Yes,2024-10-24
5173,10407,BMW X3,6,9,5,8,No,2024-04-05
5174,10293,BMW 330i,4,2,7,7,No,2024-07-09
5175,10003,BMW X7,7,1,1,9,No,2024-08-07
5176,10981,BMW X5,6,6,1,5,Yes,2024-09-16
5177,10131,BMW 320i,2,3,4,7,No,2024-09-07
5178,10488,BMW X7,9,6,7,4,No,2024-11-08
5179,10079,BMW X3,3,10,6,3,Yes,2024-09-13
5180,10034,BMW 530i,8,10,4,4,Yes,2024-11-09
5181,10416,BMW 320i,7,2,3,4,No,2024-07-20
5182,10376,BMW 330i,10,6,3,9,No,2024-06-24
5183,10392,BMW 320i,5,3,4,5,Yes,2024-04-30
5184,10275,BMW M440i,6,4,5,10,No,2024-04-16
5185,10871,BMW X7,4,2,6,2,No,2024-12-08
5186,10833,BMW M440i,10,5,1,6,Yes,2024-05-16
5187,10863,BMW M440i,1,3,5,4,No,2024-02-02
5188,10260,BMW M440i,4,9,8,8,Yes,2024-03-16
5189,10447,BMW 320i,9,2,6,10,No,2024-06-22
5190,10949,BMW 330i,8,3,6,6,No,2024-03-23
5191,10364,BMW M440i,7,4,5,9,No,2024-10-30
5192,10794,BMW M440i,4,8,9,10,Yes,2024-05-25
5193,10271,BMW M440i,6,8,5,1,No,2024-08-28
5194,10856,BMW 330i,2,4,2,2,No,2024-07-13
5195,10606,BMW i7,4,7,10,3,No,2024-12-13
5196,10254,BMW M440i,3,2,6,6,Yes,2024-08-07
5197,10846,BMW X7,4,3,8,2,Yes,2024-06-16
5198,10368,BMW i7,3,4,2,2,No,2024-07-25
5199,10049,BMW i7,10,1,6,3,Yes,2024-07-17
5200,10813,BMW X5,1,1,10,3,No,2024-10-06
5201,10577,BMW i7,10,4,9,4,No,2024-06-16
5202,10919,BMW 530i,7,7,10,3,No,2024-11-30
5203,10329,BMW M440i,1,7,4,2,Yes,2024-05-25
5204,10152,BMW M440i,7,5,10,8,No,2024-06-10
5205,10130,BMW X5,1,6,4,6,Yes,2024-04-16
5206,10621,BMW i7,7,1,6,7,No,2024-06-03
5207,10079,BMW X3,2,10,9,7,No,2024-08-28
5208,10600,BMW M440i,3,4,5,1,Yes,2024-10-20
5209,10394,BMW X7,2,10,6,8,No,2024-02-21
5210,10015,BMW X3,9,6,8,8,Yes,2024-02-20
5211,10826,BMW 320i,5,10,10,2,No,2024-04-15
5212,10013,BMW 330i,7,3,8,9,No,2024-06-05
5213,10952,BMW X7,5,3,3,7,Yes,2024-11-20
5214,10044,BMW X7,6,6,9,1,No,2024-06-02
5215,10237,BMW X5,5,6,6,1,Yes,2024-08-07
5216,10038,BMW X7,9,6,6,1,Yes,2024-09-28
5217,10244,BMW M440i,2,1,3,3,Yes,2024-07-27
5218,10951,BMW X5,1,4,6,1,Yes,2024-08-05
5219,10871,BMW 530i,4,6,7,4,No,2024-01-27
5220,10089,BMW 320i,9,10,6,2,No,2024-06-28
5221,10809,BMW 530i,6,2,1,5,No,2024-01-10
5222,10138,BMW 330i,10,9,8,3,Yes,2024-03-08
5223,10184,BMW 530i,10,2,7,4,No,2024-11-04
5224,10866,BMW 330i,2,9,10,2,No,2024-12-09
5225,10497,BMW 320i,4,2,1,9,Yes,2024-10-28
5226,10046,BMW X7,1,2,8,5,Yes,2024-08-18
5227,10950,BMW X5,1,6,7,4,No,2024-11-23
5228,10215,BMW i7,2,6,6,7,No,2024-09-21
5229,10264,BMW X7,3,3,8,2,Yes,2024-01-31
5230,10614,BMW 530i,3,3,10,2,No,2024-02-01
5231,10457,BMW M440i,8,10,3,7,Yes,2024-03-14
5232,10818,BMW X3,6,5,9,10,No,2024-05-27
5233,10078,BMW X5,8,8,3,1,No,2024-08-29
5234,10051,BMW i7,3,7,10,10,Yes,2024-11-06
5235,10375,BMW i7,10,5,10,9,Yes,2024-11-07
5236,10294,BMW X7,1,6,4,4,No,2024-08-08
5237,10171,BMW X7,4,5,5,5,No,2024-03-05
5238,10318,BMW 330i,8,3,2,9,Yes,2024-02-14
5239,10658,BMW i7,9,10,9,9,No,2024-08-15
5240,10810,BMW 530i,6,3,9,3,No,2024-12-25
5241,10854,BMW i7,7,3,8,10,Yes,2024-07-11
5242,10477,BMW 330i,8,9,10,6,Yes,2024-04-07
5243,10459,BMW 320i,6,8,9,9,No,2024-06-20
5244,10954,BMW i7,3,3,2,1,No,2024-12-21
5245,10850,BMW X7,2,5,4,1,Yes,2024-09-27
5246,10121,BMW X7,4,5,7,2,No,2024-11-26
5247,10096,BMW 330i,10,5,2,2,No,2024-03-08
5248,10640,BMW X5,8,6,10,8,No,2024-08-08
5249,10442,BMW X3,2,9,2,1,No,2024-07-04
5250,10527,BMW 320i,1,7,2,6,Yes,2024-10-31
5251,10064,BMW 330i,2,10,10,6,Yes,2024-01-17
5252,10443,BMW X5,4,10,5,2,No,2024-12-16
5253,10599,BMW M440i,6,1,3,9,No,2024-02-19
5254,10744,BMW M440i,9,10,4,4,Yes,2024-11-16
5255,10250,BMW X3,9,2,1,7,No,2024-10-26
5256,10179,BMW 320i,5,10,4,5,Yes,2024-09-13
5257,10309,BMW X7,5,2,9,5,Yes,2024-05-02
5258,10325,BMW 330i,9,3,5,5,No,2024-11-10
5259,10836,BMW 530i,2,5,10,2,No,2024-01-15
5260,10814,BMW 320i,10,6,8,9,Yes,2024-03-17
5261,10648,BMW X5,5,6,1,8,No,2024-07-08
5262,10073,BMW X5,3,2,10,5,Yes,2024-07-16
5263,10958,BMW i7,8,8,7,5,No,2024-11-29
5264,10143,BMW 330i,10,5,7,7,Yes,2024-06-08
5265,10845,BMW M440i,2,7,6,7,Yes,2024-06-08
5266,10232,BMW X3,1,8,8,3,Yes,2024-11-20
5267,10894,BMW 530i,5,8,1,2,No,2024-05-19
5268,10656,BMW X3,9,2,9,7,No,2024-10-06
5269,10065,BMW X5,5,9,4,2,No,2024-11-17
5270,10067,BMW X7,8,3,2,6,No,2024-03-07
5271,10176,BMW 320i,3,6,3,9,Yes,2024-08-16
5272,10946,BMW M440i,9,5,7,9,No,2024-03-29
5273,10177,BMW X3,6,2,8,5,Yes,2024-05-07
5274,10195,BMW 330i,8,7,9,8,Yes,2024-11-19
5275,10160,BMW 330i,2,2,6,7,No,2024-07-28
5276,10036,BMW 530i,4,5,7,9,Yes,2024-04-07
5277,10456,BMW 530i,9,10,4,3,No,2024-04-11
5278,10176,BMW 330i,9,7,4,3,No,2024-08-15
5279,10403,BMW i7,3,9,4,9,No,2024-02-11
5280,10885,BMW M440i,5,1,2,5,No,2024-08-18
5281,10818,BMW 330i,9,6,2,2,Yes,2024-09-13
5282,10697,BMW X7,10,4,5,7,Yes,2024-01-19
5283,10046,BMW 530i,2,8,5,1,No,2024-03-22
5284,10737,BMW M440i,6,9,7,5,No,2024-11-11
5285,10877,BMW 530i,8,10,4,9,Yes,2024-12-07
5286,10117,BMW 330i,7,7,1,2,Yes,2024-07-02
5287,10960,BMW X3,6,10,3,7,Yes,2024-02-20
5288,10587,BMW i7,7,8,3,2,No,2024-12-23
5289,10944,BMW X3,8,2,4,2,No,2024-01-02
5290,10321,BMW X3,2,9,9,7,No,2024-06-20
5291,10835,BMW X7,7,1,9,4,No,2024-01-06
5292,10843,BMW 530i,4,10,3,6,Yes,2024-09-05
5293,10614,BMW 320i,3,1,5,3,No,2024-10-17
5294,10169,BMW 530i,8,3,2,5,No,2024-09-09
5295,10396,BMW 320i,4,8,1,5,No,2024-02-21
5296,10438,BMW M440i,9,1,10,4,No,2024-11-22
5297,10647,BMW i7,10,8,8,8,No,2024-11-27
5298,10943,BMW i7,6,9,3,6,Yes,2024-12-16
5299,10432,BMW M440i,8,4,4,10,Yes,2024-08-05
5300,10605,BMW X5,6,4,2,2,No,2024-12-01
5301,10019,BMW 330i,1,8,5,10,Yes,2024-12-30
5302,10176,BMW 320i,8,4,8,10,No,2024-10-05
5303,10283,BMW M440i,7,1,6,4,No,2024-08-21
5304,10938,BMW 330i,2,10,7,9,Yes,2024-12-22
5305,10520,BMW X5,7,7,9,3,No,2024-06-20
5306,10086,BMW X7,10,10,9,3,No,2024-05-09
5307,10843,BMW 320i,2,3,7,2,Yes,2024-05-12
5308,10562,BMW M440i,10,8,8,8,No,2024-02-26
5309,10769,BMW X3,1,10,2,6,No,2024-06-25
5310,10261,BMW M440i,5,4,5,1,Yes,2024-02-12
5311,10454,BMW M440i,8,2,7,6,Yes,2024-04-13
5312,10158,BMW i7,4,9,1,6,No,2024-05-15
5313,10251,BMW 530i,4,2,2,10,Yes,2024-10-14
5314,10245,BMW i7,6,4,4,5,No,2024-06-13
5315,10912,BMW X7,9,8,9,3,No,2024-06-11
5316,10593,BMW X7,10,6,4,8,No,2024-10-05
5317,10317,BMW M440i,5,1,7,7,No,2024-06-14
5318,10692,BMW X3,8,2,2,2,Yes,2024-08-17
5319,10257,BMW 530i,2,10,2,1,Yes,2024-06-15
5320,10783,BMW X5,1,7,5,9,No,2024-05-24
5321,10345,BMW i7,10,6,5,8,No,2024-11-20
5322,10972,BMW M440i,1,4,2,10,Yes,2024-05-19
5323,10065,BMW 530i,2,1,8,4,Yes,2024-09-29
5324,10290,BMW 530i,3,6,10,8,No,2024-05-25
5325,10562,BMW X7,7,1,1,7,Yes,2024-12-06
5326,10827,BMW 320i,10,9,4,9,No,2024-04-21
5327,10527,BMW X3,2,4,6,2,No,2024-10-16
5328,10995,BMW X5,9,6,9,10,Yes,2024-11-29
5329,10989,BMW X5,6,10,8,3,No,2024-03-23
5330,10862,BMW 320i,6,10,4,10,Yes,2024-08-24
5331,10018,BMW M440i,4,9,4,5,No,2024-07-05
5332,10366,BMW 530i,6,7,4,1,Yes,2024-06-17
5333,10081,BMW X7,1,1,10,7,No,2024-10-09
5334,10473,BMW i7,3,8,9,3,No,2024-08-14
5335,10079,BMW 320i,2,7,3,7,No,2024-07-15
5336,10058,BMW i7,5,3,9,7,Yes,2024-08-02
5337,10331,BMW 330i,9,5,7,9,Yes,2024-10-15
5338,10168,BMW 530i,2,4,3,5,Yes,2024-08-08
5339,10010,BMW i7,7,8,5,10,No,2024-11-10
5340,10460,BMW i7,6,8,1,6,No,2024-12-28
5341,10621,BMW X5,4,1,10,8,No,2024-08-30
5342,10556,BMW X7,7,8,5,10,No,2024-04-21
5343,10273,BMW X7,9,10,4,10,Yes,2024-12-12
5344,10025,BMW i7,4,2,1,3,Yes,2024-04-21
5345,10954,BMW i7,2,9,2,5,No,2024-08-08
5346,10380,BMW 330i,8,3,2,9,No,2024-09-14
5347,10979,BMW 320i,6,7,4,1,Yes,2024-03-09
5348,10934,BMW X3,1,5,5,5,No,2024-06-07
5349,10752,BMW X7,2,1,2,10,No,2024-10-30
5350,10543,BMW X5,6,10,7,9,Yes,2024-11-17
5351,10806,BMW 320i,7,2,3,8,Yes,2024-11-15
5352,10089,BMW X3,9,2,5,2,Yes,2024-01-01
5353,10781,BMW X7,5,2,7,8,No,2024-03-20
5354,10235,BMW M440i,3,1,5,8,Yes,2024-05-05
5355,10041,BMW 530i,5,9,5,9,No,2024-04-29
5356,10279,BMW 530i,1,4,9,10,No,2024-01-12
5357,10160,BMW 320i,10,4,3,6,Yes,2024-07-15
5358,10581,BMW 330i,3,6,2,4,No,2024-08-20
5359,10371,BMW 330i,10,6,1,10,Yes,2024-08-03
5360,10725,BMW i7,8,2,7,9,Yes,2024-03-23
5361,10391,BMW M440i,8,1,3,5,No,2024-04-09
5362,10501,BMW M440i,3,4,5,2,No,2024-12-10
5363,10010,BMW i7,6,10,3,2,Yes,2024-10-22
5364,10890,BMW 320i,6,7,9,3,No,2024-05-28
5365,10111,BMW 330i,1,6,9,10,Yes,2024-05-16
5366,10791,BMW X7,7,8,10,2,No,2024-04-11
5367,10069,BMW X5,3,3,6,10,Yes,2024-12-27
5368,10279,BMW X7,1,3,1,10,Yes,2024-12-04
5369,10170,BMW X7,10,9,1,6,Yes,2024-11-20
5370,10827,BMW X7,10,2,5,1,Yes,2024-01-29
5371,10506,BMW 320i,6,9,3,4,Yes,2024-02-07
5372,10020,BMW 320i,7,5,8,9,Yes,2024-09-04
5373,10301,BMW 320i,1,7,6,5,No,2024-01-15
5374,10789,BMW X7,9,1,8,2,Yes,2024-04-27
5375,10378,BMW 330i,3,4,7,8,Yes,2024-07-05
5376,10498,BMW i7,9,7,1,6,No,2024-06-16
5377,10181,BMW X3,2,5,8,2,Yes,2024-04-20
5378,10948,BMW X3,9,3,4,3,No,2024-03-24
5379,10030,BMW i7,1,8,8,3,No,2024-03-30
5380,10618,BMW X3,6,4,1,1,Yes,2024-04-01
5381,10512,BMW i7,1,2,7,8,No,2024-02-15
5382,10691,BMW 530i,8,1,9,2,No,2024-08-27
5383,10258,BMW X3,10,3,4,6,Yes,2024-09-17
5384,10754,BMW 530i,10,3,5,5,No,2024-10-06
5385,10182,BMW X7,1,6,3,6,No,2024-07-07
5386,10651,BMW X5,6,2,1,3,Yes,2024-04-09
5387,10023,BMW X3,8,7,10,9,Yes,2024-09-27
5388,10933,BMW X5,4,6,1,6,Yes,2024-07-24
5389,10590,BMW 320i,8,2,10,6,No,2024-04-03
5390,10592,BMW X7,6,8,4,3,No,2024-07-14
5391,10978,BMW X7,10,5,9,6,No,2024-07-26
5392,10595,BMW 530i,5,10,8,9,No,2024-10-13
5393,10211,BMW 320i,3,8,10,9,Yes,2024-09-22
5394,10959,BMW 320i,3,3,2,10,Yes,2024-01-19
5395,10625,BMW M440i,4,8,5,2,Yes,2024-05-24
5396,10658,BMW 320i,2,3,1,9,No,2024-10-19
5397,10688,BMW i7,5,8,7,4,Yes,2024-02-24
5398,10550,BMW 530i,9,10,9,5,No,2024-09-19
5399,10185,BMW M440i,4,4,8,6,Yes,2024-10-12
5400,10138,BMW X7,7,7,4,3,No,2024-12-30
5401,10276,BMW 320i,7,1,10,10,No,2024-06-19
5402,10638,BMW 530i,3,1,4,1,No,2024-06-21
5403,10301,BMW i7,1,6,7,10,No,2024-05-19
5404,10114,BMW X3,3,9,7,2,Yes,2024-12-23
5405,10745,BMW X3,3,6,3,3,No,2024-01-25
5406,10843,BMW X5,8,1,1,7,Yes,2024-07-05
5407,10039,BMW 320i,3,3,2,10,Yes,2024-08-17
5408,10283,BMW X5,9,5,2,6,Yes,2024-05-16
5409,10339,BMW 330i,4,10,8,6,Yes,2024-06-15
5410,10391,BMW X3,6,9,3,8,Yes,2024-07-14
5411,10826,BMW X5,3,7,10,9,No,2024-09-06
5412,10227,BMW M440i,10,9,8,3,Yes,2024-11-27
5413,10500,BMW X7,10,2,8,9,Yes,2024-12-08
5414,10240,BMW 530i,10,4,1,3,Yes,2024-09-07
5415,10007,BMW 530i,3,1,10,9,No,2024-05-29
5416,10397,BMW X5,7,1,1,4,Yes,2024-09-07
5417,10879,BMW i7,8,10,9,1,No,2024-04-24
5418,10807,BMW 320i,9,8,2,2,No,2024-09-07
5419,10510,BMW M440i,1,7,9,3,Yes,2024-06-23
5420,10167,BMW M440i,10,1,3,10,Yes,2024-03-09
5421,10067,BMW 320i,2,10,5,3,No,2024-02-26
5422,10342,BMW 330i,2,8,8,6,No,2024-08-12
5423,10671,BMW X3,9,5,9,2,No,2024-09-23
5424,10446,BMW X3,3,4,4,10,No,2024-10-06
5425,10269,BMW X5,4,5,2,4,Yes,2024-08-09
5426,10126,BMW 320i,8,8,6,7,Yes,2024-12-12
5427,10498,BMW X5,7,9,1,3,No,2024-11-29
5428,10695,BMW X7,1,4,6,8,No,2024-07-25
5429,10590,BMW i7,4,7,3,8,Yes,2024-08-15
5430,10088,BMW 330i,4,2,2,4,Yes,2024-11-12
5431,10996,BMW i7,2,7,6,3,No,2024-09-04
5432,10193,BMW 530i,5,2,5,10,Yes,2024-07-19
5433,10491,BMW 320i,4,10,6,9,Yes,2024-09-11
5434,10995,BMW M440i,5,7,5,8,Yes,2024-04-12
5435,10678,BMW X7,10,2,3,4,Yes,2024-07-19
5436,10870,BMW 320i,3,7,8,7,Yes,2024-10-24
5437,10344,BMW i7,9,7,9,1,No,2024-10-23
5438,10003,BMW X7,8,3,4,7,No,2024-07-17
5439,10916,BMW 320i,3,8,8,4,No,2024-10-21
5440,10580,BMW X5,1,1,1,2,No,2024-05-01
5441,10331,BMW X5,2,8,9,7,No,2024-08-25
5442,10336,BMW M440i,9,4,7,5,No,2024-02-20
5443,10112,BMW 320i,10,5,6,3,No,2024-05-14
5444,10457,BMW 320i,10,10,5,7,Yes,2024-12-29
5445,10732,BMW X5,3,6,8,8,No,2024-03-06
5446,10694,BMW M440i,7,3,9,2,Yes,2024-06-24
5447,10723,BMW M440i,2,9,4,2,Yes,2024-09-25
5448,10484,BMW M440i,10,6,5,3,No,2024-08-19
5449,10696,BMW M440i,3,1,5,1,No,2024-01-27
5450,10663,BMW M440i,5,4,2,5,Yes,2024-03-22
5451,10893,BMW M440i,6,8,2,9,Yes,2024-01-30
5452,10125,BMW 330i,5,5,7,5,Yes,2024-01-22
5453,10974,BMW 320i,3,3,8,10,No,2024-07-06
5454,10570,BMW 530i,2,2,2,5,Yes,2024-07-06
