Transaction_ID,Customer_ID,Option_ID,Option_Name,Purchase_Date,Price,Dealer_ID
20041,10828,OPT006,4-Zone Climate Control,2024-01-01,2378,1040
20042,10192,OPT002,Premium Sound System,2024-06-24,1507,1038
20043,10158,OPT005,4-Zone Climate Control,2024-12-05,1657,1015
20044,10583,OPT007,Premium Sound System,2024-10-11,1718,1034
20045,10468,OPT001,Leather Upholstery,2024-11-15,1011,1013
20046,10364,OPT008,Navigation System,2024-08-26,2628,1007
20047,10520,OPT007,4-Zone Climate Control,2024-10-03,1805,1010
20048,10214,OPT006,Parking Assist Plus,2024-05-21,3169,1013
20049,10707,OPT002,Navigation System,2024-12-21,3124,1019
20050,10400,OPT004,Adaptive LED Headlights,2024-11-06,2094,1001
20051,10112,OPT006,4-Zone Climate Control,2024-03-04,2112,1017
20052,10197,OPT005,All-Wheel Drive,2024-06-15,2540,1044
20053,10164,OPT009,4-Zone Climate Control,2024-12-08,1844,1021
20054,10390,OPT008,Leather Upholstery,2024-12-16,3442,1038
20055,10460,OPT002,Wireless Phone Charging,2024-09-27,1787,1040
20056,10169,OPT005,Leather Upholstery,2024-09-18,2402,1037
20057,10161,OPT010,Leather Upholstery,2024-12-05,910,1017
20058,10221,OPT008,All-Wheel Drive,2024-10-10,2177,1026
20059,10909,OPT005,Navigation System,2024-06-01,1038,1023
20060,10086,OPT005,Navigation System,2024-11-14,1981,1011
20061,10964,OPT001,Parking Assist Plus,2024-07-21,2052,1024
20062,10775,OPT008,Panoramic Sunroof,2024-05-10,3207,1028
20063,10811,OPT001,Panoramic Sunroof,2024-06-14,1090,1010
20064,10204,OPT010,Navigation System,2024-10-06,1310,1028
20065,10278,OPT004,4-Zone Climate Control,2024-11-13,3446,1014
20066,10928,OPT003,Adaptive LED Headlights,2024-08-01,2520,1001
20067,10965,OPT001,Panoramic Sunroof,2024-04-24,3346,1006
20068,10380,OPT004,Wireless Phone Charging,2024-12-18,1847,1027
20069,10945,OPT001,Harman Kardon System,2024-06-09,1864,1046
20070,10751,OPT008,Panoramic Sunroof,2024-04-07,2801,1006
20071,10436,OPT008,Panoramic Sunroof,2024-08-26,1865,1030
20072,10708,OPT010,Leather Upholstery,2024-09-21,2986,1035
20073,10731,OPT004,All-Wheel Drive,2024-04-12,2458,1038
20074,10264,OPT001,Wireless Phone Charging,2024-06-09,2056,1043
20075,10787,OPT002,Harman Kardon System,2024-05-18,1026,1017
20076,10938,OPT003,Navigation System,2024-10-17,2292,1025
20077,10871,OPT002,Panoramic Sunroof,2024-05-14,2250,1006
20078,10567,OPT004,Adaptive LED Headlights,2024-09-08,2356,1046
20079,10675,OPT004,Wireless Phone Charging,2024-03-08,2402,1007
20080,10192,OPT002,Panoramic Sunroof,2024-01-01,3205,1007
20081,10600,OPT005,Leather Upholstery,2024-04-01,3121,1024
20082,10160,OPT001,All-Wheel Drive,2024-03-13,3328,1007
20083,10196,OPT007,Leather Upholstery,2024-08-11,1355,1016
20084,10494,OPT007,All-Wheel Drive,2024-09-26,1158,1036
20085,10034,OPT008,Premium Sound System,2024-01-16,1220,1041
20086,10767,OPT009,Wireless Phone Charging,2024-12-15,1651,1018
20087,10836,OPT004,Navigation System,2024-11-18,1713,1047
20088,10488,OPT002,Wireless Phone Charging,2024-02-04,3477,1026
20089,10766,OPT005,Wireless Phone Charging,2024-09-27,1146,1032
20090,10908,OPT005,Harman Kardon System,2024-09-12,2165,1027
20091,10975,OPT007,Parking Assist Plus,2024-02-04,825,1023
20092,10653,OPT010,Adaptive LED Headlights,2024-10-11,3297,1028
20093,10471,OPT004,Panoramic Sunroof,2024-05-18,1685,1034
20094,10721,OPT003,Premium Sound System,2024-03-26,2108,1029
20095,10325,OPT010,All-Wheel Drive,2024-09-21,1181,1021
20096,10333,OPT010,Navigation System,2024-07-21,2905,1046
20097,10510,OPT001,4-Zone Climate Control,2024-12-27,1346,1039
20098,10103,OPT001,Wireless Phone Charging,2024-06-08,1664,1008
20099,10942,OPT002,Wireless Phone Charging,2024-08-30,2953,1007
20100,10589,OPT006,Leather Upholstery,2024-04-20,3071,1011
20101,10506,OPT002,Premium Sound System,2024-07-07,1163,1047
20102,10401,OPT009,Wireless Phone Charging,2024-07-02,1840,1005
20103,10012,OPT006,Premium Sound System,2024-10-08,2372,1006
20104,10169,OPT010,Panoramic Sunroof,2024-09-09,2169,1012
20105,10297,OPT001,Panoramic Sunroof,2024-08-12,917,1045
20106,10671,OPT008,Premium Sound System,2024-02-14,817,1035
20107,10941,OPT003,Adaptive LED Headlights,2024-11-19,1394,1050
20108,10281,OPT006,Adaptive LED Headlights,2024-06-12,3171,1039
20109,10831,OPT007,All-Wheel Drive,2024-09-03,3055,1048
20110,10901,OPT007,4-Zone Climate Control,2024-08-11,2360,1045
20111,10220,OPT003,Harman Kardon System,2024-08-20,2800,1002
20112,10592,OPT007,Premium Sound System,2024-04-12,3232,1003
20113,10383,OPT005,Navigation System,2024-04-20,2424,1003
20114,10158,OPT008,4-Zone Climate Control,2024-03-27,1941,1008
20115,10960,OPT006,4-Zone Climate Control,2024-12-24,1242,1036
20116,10973,OPT009,Parking Assist Plus,2024-04-28,1652,1003
20117,10601,OPT009,4-Zone Climate Control,2024-08-28,1465,1014
20118,10832,OPT008,All-Wheel Drive,2024-01-31,1022,1036
20119,10266,OPT010,4-Zone Climate Control,2024-02-13,2909,1009
20120,10847,OPT009,Harman Kardon System,2024-03-30,2359,1012
20121,10316,OPT004,Wireless Phone Charging,2024-03-18,2549,1016
20122,10541,OPT003,Harman Kardon System,2024-10-17,2890,1032
20123,10887,OPT005,4-Zone Climate Control,2024-08-19,2035,1008
20124,10634,OPT003,All-Wheel Drive,2024-11-28,2056,1006
20125,10879,OPT005,Leather Upholstery,2024-06-21,1793,1006
20126,10379,OPT001,Harman Kardon System,2024-03-03,1060,1026
20127,10240,OPT001,4-Zone Climate Control,2024-01-16,1154,1038
20128,10309,OPT007,Panoramic Sunroof,2024-04-02,3028,1046
20129,10354,OPT002,Premium Sound System,2024-10-08,1058,1036
20130,10559,OPT005,4-Zone Climate Control,2024-03-24,2468,1010
20131,10336,OPT009,Parking Assist Plus,2024-09-26,1653,1043
20132,10156,OPT003,Navigation System,2024-01-20,1282,1022
20133,10079,OPT006,Premium Sound System,2024-05-31,3045,1017
20134,10156,OPT002,4-Zone Climate Control,2024-01-10,2996,1034
20135,10863,OPT001,All-Wheel Drive,2024-02-15,2780,1001
20136,10917,OPT007,Parking Assist Plus,2024-11-24,2613,1004
20137,10577,OPT003,All-Wheel Drive,2024-03-03,2478,1036
20138,10797,OPT004,Leather Upholstery,2024-04-20,1486,1027
20139,10665,OPT004,Parking Assist Plus,2024-10-23,1800,1020
20140,10965,OPT004,Premium Sound System,2024-07-04,847,1018
20141,10386,OPT001,Adaptive LED Headlights,2024-04-20,1674,1042
20142,10465,OPT004,Panoramic Sunroof,2024-11-19,2770,1025
20143,10673,OPT008,Parking Assist Plus,2024-01-07,2883,1010
20144,10625,OPT004,Adaptive LED Headlights,2024-01-18,3088,1006
20145,10732,OPT007,Navigation System,2024-05-19,3345,1034
20146,10537,OPT001,Leather Upholstery,2024-02-02,1640,1006
20147,10958,OPT002,Navigation System,2024-05-16,1272,1024
20148,10349,OPT007,Wireless Phone Charging,2024-10-08,837,1035
20149,10471,OPT004,All-Wheel Drive,2024-05-21,1812,1047
20150,10103,OPT007,Wireless Phone Charging,2024-02-11,2913,1047
20151,10193,OPT010,Navigation System,2024-05-20,3199,1030
20152,10326,OPT006,Panoramic Sunroof,2024-04-17,3478,1023
20153,10074,OPT009,Harman Kardon System,2024-10-18,2648,1001
20154,10456,OPT003,Panoramic Sunroof,2024-02-03,3173,1005
20155,10238,OPT003,Parking Assist Plus,2024-04-13,1538,1018
20156,10744,OPT005,Parking Assist Plus,2024-05-17,3250,1037
20157,10835,OPT004,4-Zone Climate Control,2024-03-15,3080,1033
20158,10284,OPT009,Parking Assist Plus,2024-07-21,2725,1049
20159,10603,OPT006,Wireless Phone Charging,2024-06-24,1284,1021
20160,10033,OPT001,Wireless Phone Charging,2024-06-05,1364,1040
20161,10202,OPT002,4-Zone Climate Control,2024-09-25,2269,1010
20162,10096,OPT009,Adaptive LED Headlights,2024-06-03,3136,1002
20163,10587,OPT010,Harman Kardon System,2024-09-03,960,1007
20164,10143,OPT010,Navigation System,2024-01-27,1001,1021
20165,10591,OPT008,Wireless Phone Charging,2024-12-04,3106,1015
20166,10548,OPT006,Parking Assist Plus,2024-02-11,1873,1048
20167,10146,OPT006,Adaptive LED Headlights,2024-11-01,1260,1039
20168,10628,OPT002,Wireless Phone Charging,2024-05-11,1297,1048
20169,10910,OPT001,Panoramic Sunroof,2024-03-07,1029,1023
20170,10333,OPT009,Leather Upholstery,2024-12-26,2407,1017
20171,10784,OPT003,Wireless Phone Charging,2024-03-20,856,1046
20172,10308,OPT006,4-Zone Climate Control,2024-02-17,2462,1041
20173,10866,OPT006,Adaptive LED Headlights,2024-11-25,3041,1027
20174,10160,OPT008,All-Wheel Drive,2024-06-16,2992,1033
20175,10774,OPT007,Premium Sound System,2024-11-23,1144,1031
20176,10554,OPT004,4-Zone Climate Control,2024-10-10,1504,1040
20177,10247,OPT007,Parking Assist Plus,2024-10-29,2348,1016
20178,10730,OPT007,Premium Sound System,2024-07-11,3312,1016
20179,10375,OPT005,4-Zone Climate Control,2024-04-26,2089,1038
20180,10556,OPT010,Navigation System,2024-08-13,2642,1006
20181,10348,OPT009,Premium Sound System,2024-11-08,1368,1002
20182,10776,OPT010,Parking Assist Plus,2024-07-06,1943,1050
20183,10831,OPT008,Adaptive LED Headlights,2024-05-10,3304,1013
20184,10905,OPT009,4-Zone Climate Control,2024-03-02,2087,1047
20185,10351,OPT005,Panoramic Sunroof,2024-02-26,1749,1019
20186,10067,OPT010,Panoramic Sunroof,2024-04-02,3079,1018
20187,10908,OPT001,Harman Kardon System,2024-03-02,2090,1009
20188,10118,OPT008,Wireless Phone Charging,2024-03-29,1976,1047
20189,10265,OPT001,Navigation System,2024-06-04,1831,1010
20190,10217,OPT004,Premium Sound System,2024-04-16,1544,1008
20191,10323,OPT005,Premium Sound System,2024-04-19,1794,1017
20192,10740,OPT005,Premium Sound System,2024-03-03,3246,1019
20193,10124,OPT006,Navigation System,2024-02-16,2699,1048
20194,10201,OPT004,Leather Upholstery,2024-07-21,2805,1048
20195,10804,OPT005,Harman Kardon System,2024-04-29,1869,1040
20196,10445,OPT004,Harman Kardon System,2024-10-17,2208,1029
20197,10265,OPT009,Navigation System,2024-09-12,1502,1002
20198,10976,OPT008,All-Wheel Drive,2024-11-21,2006,1013
20199,10481,OPT003,Panoramic Sunroof,2024-07-20,1888,1012
20200,10555,OPT001,4-Zone Climate Control,2024-10-11,3238,1044
20201,10973,OPT005,Navigation System,2024-09-19,1997,1028
20202,10558,OPT010,4-Zone Climate Control,2024-07-13,3256,1023
20203,10347,OPT006,Harman Kardon System,2024-04-20,3396,1003
20204,10483,OPT002,Wireless Phone Charging,2024-11-27,3111,1019
20205,10777,OPT002,All-Wheel Drive,2024-10-23,1253,1033
20206,10741,OPT010,Parking Assist Plus,2024-11-28,3157,1023
20207,10420,OPT001,Leather Upholstery,2024-12-19,1623,1036
20208,10145,OPT010,Harman Kardon System,2024-02-13,2586,1002
20209,10739,OPT009,Parking Assist Plus,2024-05-09,1330,1016
20210,10747,OPT009,Panoramic Sunroof,2024-05-09,1807,1027
20211,10514,OPT010,Adaptive LED Headlights,2024-05-17,2098,1042
20212,10464,OPT002,Wireless Phone Charging,2024-04-04,972,1025
20213,10955,OPT007,Leather Upholstery,2024-02-26,1297,1038
20214,10169,OPT006,Premium Sound System,2024-02-18,3275,1035
20215,10347,OPT005,Harman Kardon System,2024-07-20,3049,1028
20216,10804,OPT010,Premium Sound System,2024-08-14,2756,1048
20217,10148,OPT010,Adaptive LED Headlights,2024-12-13,2181,1045
20218,10316,OPT004,Parking Assist Plus,2024-02-23,836,1019
20219,10805,OPT005,4-Zone Climate Control,2024-12-23,1609,1001
20220,10023,OPT007,4-Zone Climate Control,2024-07-06,2865,1049
20221,10559,OPT003,Harman Kardon System,2024-08-04,2033,1006
20222,10211,OPT005,Parking Assist Plus,2024-12-20,2656,1005
20223,10449,OPT008,Harman Kardon System,2024-04-20,1649,1046
20224,10891,OPT009,Leather Upholstery,2024-09-03,2339,1044
20225,10861,OPT001,Wireless Phone Charging,2024-06-21,3040,1003
20226,10790,OPT008,Wireless Phone Charging,2024-09-30,883,1031
20227,10798,OPT002,Panoramic Sunroof,2024-01-10,2022,1042
20228,10819,OPT004,Parking Assist Plus,2024-02-23,2269,1017
20229,10393,OPT009,Leather Upholstery,2024-10-21,1514,1008
20230,10153,OPT002,All-Wheel Drive,2024-05-31,2831,1016
20231,10595,OPT006,Navigation System,2024-06-08,2374,1048
20232,10525,OPT003,Wireless Phone Charging,2024-09-04,1858,1038
20233,10505,OPT001,Adaptive LED Headlights,2024-10-16,3319,1006
20234,10746,OPT008,Premium Sound System,2024-01-27,2901,1041
20235,10277,OPT003,Premium Sound System,2024-04-29,2048,1048
20236,10566,OPT002,Adaptive LED Headlights,2024-05-31,2208,1006
20237,10531,OPT006,Adaptive LED Headlights,2024-06-19,2020,1009
20238,10815,OPT005,4-Zone Climate Control,2024-04-29,2551,1008
20239,10628,OPT001,Premium Sound System,2024-01-20,2031,1010
20240,10674,OPT010,Adaptive LED Headlights,2024-04-16,1416,1007
20241,10943,OPT004,Panoramic Sunroof,2024-09-15,2125,1040
20242,10932,OPT010,All-Wheel Drive,2024-07-24,2134,1027
20243,10906,OPT009,Premium Sound System,2024-03-19,2692,1022
20244,10813,OPT002,Premium Sound System,2024-12-16,2909,1014
20245,10842,OPT004,Wireless Phone Charging,2024-01-15,1581,1031
20246,10157,OPT005,Parking Assist Plus,2024-10-02,3074,1015
20247,10216,OPT001,Parking Assist Plus,2024-05-23,1155,1011
20248,10392,OPT003,Adaptive LED Headlights,2024-04-14,3267,1025
20249,10700,OPT004,Adaptive LED Headlights,2024-05-05,2864,1042
20250,10280,OPT001,4-Zone Climate Control,2024-08-01,2733,1011
20251,10524,OPT005,Leather Upholstery,2024-05-07,1622,1015
20252,10346,OPT001,Parking Assist Plus,2024-05-06,1847,1023
20253,10201,OPT003,All-Wheel Drive,2024-12-21,949,1014
20254,10304,OPT002,Premium Sound System,2024-10-09,1134,1032
20255,10668,OPT009,Harman Kardon System,2024-12-01,1465,1035
20256,10081,OPT007,Wireless Phone Charging,2024-09-14,1790,1032
20257,10605,OPT003,Wireless Phone Charging,2024-01-02,2781,1049
20258,10357,OPT004,Panoramic Sunroof,2024-11-25,2741,1006
20259,10574,OPT002,Harman Kardon System,2024-09-24,2859,1016
20260,10537,OPT006,Wireless Phone Charging,2024-11-27,2609,1045
20261,10111,OPT004,Panoramic Sunroof,2024-08-01,2270,1018
20262,10054,OPT001,All-Wheel Drive,2024-08-27,2744,1034
20263,10856,OPT006,Navigation System,2024-03-27,2596,1044
20264,10123,OPT004,Navigation System,2024-08-03,1508,1039
20265,10966,OPT004,4-Zone Climate Control,2024-11-25,2835,1001
20266,10469,OPT008,Harman Kardon System,2024-02-06,1422,1031
20267,10219,OPT001,Harman Kardon System,2024-10-29,3258,1020
20268,10525,OPT008,Harman Kardon System,2024-08-20,2722,1043
20269,10650,OPT001,Panoramic Sunroof,2024-07-04,2925,1033
20270,10386,OPT002,Harman Kardon System,2024-04-14,2199,1031
20271,10836,OPT002,Adaptive LED Headlights,2024-09-06,2024,1024
20272,10461,OPT003,Parking Assist Plus,2024-06-27,2187,1014
20273,10040,OPT001,4-Zone Climate Control,2024-01-04,2955,1050
20274,10167,OPT005,All-Wheel Drive,2024-08-11,3373,1006
20275,10126,OPT006,All-Wheel Drive,2024-01-12,935,1010
20276,10144,OPT004,All-Wheel Drive,2024-05-15,1612,1029
20277,10852,OPT001,Adaptive LED Headlights,2024-12-24,2272,1029
20278,10270,OPT001,Premium Sound System,2024-08-06,2061,1033
20279,10285,OPT005,Harman Kardon System,2024-07-29,2253,1024
20280,10654,OPT005,Leather Upholstery,2024-05-04,2388,1024
20281,10610,OPT002,Wireless Phone Charging,2024-09-12,1723,1042
20282,10794,OPT002,4-Zone Climate Control,2024-05-25,2291,1032
20283,10861,OPT001,Premium Sound System,2024-11-22,2112,1050
20284,10004,OPT007,4-Zone Climate Control,2024-06-12,2693,1028
20285,10899,OPT006,Harman Kardon System,2024-03-01,2179,1001
20286,10646,OPT008,Leather Upholstery,2024-02-14,1155,1024
20287,10870,OPT005,Parking Assist Plus,2024-09-22,2114,1025
20288,10219,OPT004,All-Wheel Drive,2024-12-11,2402,1017
20289,10969,OPT001,Premium Sound System,2024-04-14,2516,1020
20290,10441,OPT009,Premium Sound System,2024-01-28,1794,1016
20291,10277,OPT003,All-Wheel Drive,2024-02-23,2961,1038
20292,10454,OPT002,Navigation System,2024-06-14,3052,1046
20293,10245,OPT007,Leather Upholstery,2024-04-30,2082,1018
20294,10410,OPT006,Wireless Phone Charging,2024-07-12,2915,1050
20295,10220,OPT009,All-Wheel Drive,2024-08-24,1185,1042
20296,10930,OPT005,Leather Upholstery,2024-08-02,2203,1002
20297,10859,OPT006,Premium Sound System,2024-01-16,1465,1016
20298,10710,OPT007,All-Wheel Drive,2024-02-06,1127,1006
20299,10165,OPT004,Navigation System,2024-01-06,1855,1017
20300,10806,OPT001,Leather Upholstery,2024-06-25,1756,1049
20301,10061,OPT006,Harman Kardon System,2024-03-25,1756,1014
20302,10912,OPT003,Parking Assist Plus,2024-02-16,2321,1030
20303,10478,OPT010,All-Wheel Drive,2024-08-11,3362,1001
20304,10835,OPT009,Leather Upholstery,2024-11-22,930,1036
20305,10689,OPT003,Harman Kardon System,2024-01-31,2913,1014
20306,10101,OPT005,Premium Sound System,2024-10-29,2613,1010
20307,10500,OPT001,Adaptive LED Headlights,2024-02-15,2521,1046
20308,10257,OPT009,Parking Assist Plus,2024-12-02,2124,1013
20309,10511,OPT006,Harman Kardon System,2024-03-06,831,1032
20310,10058,OPT008,Wireless Phone Charging,2024-05-13,2552,1003
20311,10978,OPT002,Navigation System,2024-09-03,3082,1003
20312,10112,OPT005,Wireless Phone Charging,2024-02-23,1601,1047
20313,10752,OPT007,Wireless Phone Charging,2024-08-15,3323,1048
20314,10305,OPT002,4-Zone Climate Control,2024-09-30,1381,1050
20315,10220,OPT007,Premium Sound System,2024-11-02,2696,1029
20316,10255,OPT004,Leather Upholstery,2024-03-29,1670,1008
20317,10655,OPT003,4-Zone Climate Control,2024-10-18,1709,1038
20318,10857,OPT002,Panoramic Sunroof,2024-12-25,2400,1001
20319,10755,OPT005,Parking Assist Plus,2024-12-12,1193,1050
20320,10396,OPT001,Panoramic Sunroof,2024-07-18,1884,1041
20321,10441,OPT002,Adaptive LED Headlights,2024-12-19,3045,1031
20322,10663,OPT006,Adaptive LED Headlights,2024-07-25,2994,1012
20323,10498,OPT002,Leather Upholstery,2024-07-05,2138,1038
20324,10921,OPT005,All-Wheel Drive,2024-01-10,2010,1046
20325,10645,OPT001,Leather Upholstery,2024-03-20,2014,1037
20326,10485,OPT002,Navigation System,2024-02-22,959,1042
20327,10047,OPT008,Navigation System,2024-01-11,3002,1019
20328,10953,OPT004,Adaptive LED Headlights,2024-05-23,902,1044
20329,10093,OPT008,Harman Kardon System,2024-01-29,2334,1030
20330,10872,OPT010,Adaptive LED Headlights,2024-10-18,2057,1035
20331,10292,OPT008,4-Zone Climate Control,2024-03-29,1756,1045
20332,10757,OPT001,Harman Kardon System,2024-08-27,2655,1049
20333,10735,OPT006,Adaptive LED Headlights,2024-09-12,1543,1020
20334,10233,OPT006,Panoramic Sunroof,2024-03-30,2561,1010
20335,10663,OPT003,Panoramic Sunroof,2024-09-25,2492,1046
20336,10859,OPT010,Harman Kardon System,2024-11-25,1783,1033
20337,10526,OPT003,Premium Sound System,2024-04-05,2530,1015
20338,10392,OPT006,All-Wheel Drive,2024-03-04,2493,1009
20339,10633,OPT006,Premium Sound System,2024-04-14,2737,1019
20340,10182,OPT002,Leather Upholstery,2024-03-22,1323,1004
20341,10495,OPT003,Leather Upholstery,2024-05-13,2422,1042
20342,10568,OPT009,4-Zone Climate Control,2024-12-17,1966,1026
20343,10554,OPT009,Premium Sound System,2024-06-03,1113,1026
20344,10968,OPT005,Leather Upholstery,2024-03-12,1952,1038
20345,10698,OPT009,Navigation System,2024-08-26,1782,1048
20346,10228,OPT010,Panoramic Sunroof,2024-03-13,811,1022
20347,10499,OPT004,All-Wheel Drive,2024-07-22,2325,1006
20348,10108,OPT009,4-Zone Climate Control,2024-02-06,1428,1003
20349,10482,OPT008,All-Wheel Drive,2024-10-29,1375,1042
20350,10555,OPT009,Leather Upholstery,2024-12-12,1544,1032
20351,10132,OPT002,Adaptive LED Headlights,2024-01-01,3178,1001
20352,10942,OPT007,Premium Sound System,2024-05-22,3175,1047
20353,10090,OPT008,All-Wheel Drive,2024-02-04,2317,1041
20354,10553,OPT005,Parking Assist Plus,2024-10-20,2279,1043
20355,10608,OPT008,All-Wheel Drive,2024-11-14,2166,1004
20356,10176,OPT004,Navigation System,2024-12-08,2852,1021
20357,10632,OPT006,Panoramic Sunroof,2024-07-27,3064,1024
20358,10342,OPT001,Premium Sound System,2024-08-05,2075,1003
20359,10002,OPT002,Navigation System,2024-03-11,2851,1049
20360,10550,OPT007,4-Zone Climate Control,2024-03-10,1000,1031
20361,10922,OPT004,All-Wheel Drive,2024-05-12,1682,1010
20362,10274,OPT009,Panoramic Sunroof,2024-01-05,3140,1040
20363,10598,OPT006,Navigation System,2024-01-15,1362,1045
20364,10703,OPT010,Navigation System,2024-05-28,1393,1017
20365,10708,OPT006,Harman Kardon System,2024-12-10,2692,1040
20366,10680,OPT009,Adaptive LED Headlights,2024-06-27,2280,1023
20367,10607,OPT004,Panoramic Sunroof,2024-04-21,2438,1022
20368,10547,OPT005,Adaptive LED Headlights,2024-04-13,3481,1006
20369,10802,OPT008,Parking Assist Plus,2024-01-13,3077,1038
20370,10450,OPT010,Wireless Phone Charging,2024-07-21,2807,1014
20371,10365,OPT008,Adaptive LED Headlights,2024-03-09,1669,1002
20372,10680,OPT005,Navigation System,2024-02-18,2073,1034
20373,10331,OPT004,Parking Assist Plus,2024-02-03,1625,1047
20374,10933,OPT001,4-Zone Climate Control,2024-04-15,2880,1043
20375,10880,OPT009,Premium Sound System,2024-06-27,2193,1020
20376,10167,OPT007,Parking Assist Plus,2024-10-26,2204,1035
20377,10407,OPT006,All-Wheel Drive,2024-10-30,1542,1023
20378,10826,OPT005,Parking Assist Plus,2024-08-02,2758,1028
20379,10576,OPT003,Panoramic Sunroof,2024-03-02,893,1021
20380,10984,OPT005,All-Wheel Drive,2024-04-30,2897,1036
20381,10410,OPT001,4-Zone Climate Control,2024-11-19,1128,1008
20382,10706,OPT007,Navigation System,2024-02-24,1795,1046
20383,10149,OPT006,Parking Assist Plus,2024-06-10,1498,1026
20384,10129,OPT004,Leather Upholstery,2024-03-08,2799,1022
20385,10321,OPT008,4-Zone Climate Control,2024-03-02,1009,1017
20386,10839,OPT002,4-Zone Climate Control,2024-04-25,2716,1010
20387,10895,OPT001,Premium Sound System,2024-06-25,1589,1032
20388,10925,OPT003,Panoramic Sunroof,2024-11-27,2487,1030
20389,10748,OPT004,All-Wheel Drive,2024-11-22,1929,1050
20390,10255,OPT006,Navigation System,2024-04-22,1853,1012
20391,10689,OPT002,Premium Sound System,2024-09-01,2176,1011
20392,10226,OPT006,Adaptive LED Headlights,2024-02-21,3008,1021
20393,10596,OPT008,Adaptive LED Headlights,2024-01-26,3072,1026
20394,10805,OPT001,Leather Upholstery,2024-02-10,3492,1002
20395,10397,OPT002,All-Wheel Drive,2024-06-01,3418,1042
20396,10180,OPT002,4-Zone Climate Control,2024-01-12,2282,1004
20397,10939,OPT009,All-Wheel Drive,2024-01-06,3390,1022
20398,10693,OPT006,Panoramic Sunroof,2024-01-21,1493,1030
20399,10661,OPT004,Harman Kardon System,2024-07-04,2421,1046
20400,10980,OPT006,4-Zone Climate Control,2024-02-29,903,1011
20401,10303,OPT003,Wireless Phone Charging,2024-03-17,1841,1022
20402,10184,OPT001,Navigation System,2024-10-07,2478,1013
20403,10698,OPT010,Premium Sound System,2024-09-23,1580,1033
20404,10946,OPT005,Navigation System,2024-01-01,2630,1027
20405,10548,OPT009,Navigation System,2024-12-10,1747,1018
20406,10150,OPT004,Parking Assist Plus,2024-10-28,1482,1001
20407,10940,OPT009,Parking Assist Plus,2024-01-05,1576,1045
20408,10732,OPT008,All-Wheel Drive,2024-06-18,902,1022
20409,10767,OPT005,4-Zone Climate Control,2024-06-15,3443,1010
20410,10202,OPT010,Parking Assist Plus,2024-04-29,3003,1013
20411,10399,OPT006,4-Zone Climate Control,2024-05-19,2354,1032
20412,10587,OPT006,Panoramic Sunroof,2024-05-09,854,1015
20413,10960,OPT004,Leather Upholstery,2024-10-25,1769,1017
